Chimera compiler, version 0.1
Copyright © 2013 by Andres, Ian, Servio, ITESM CEM.
[208] {END, "end", @(57, 5)}
[209] {END_OF_EXPRESSION, ";", @(57, 8)}
[210] {END, "end", @(58, 1)}
[211] {END_OF_EXPRESSION, ";", @(58, 4)}
[212] {EOF, "", @(59, 1)}

===== Tokens from: "test_programs/raw_symbols_list.chimera" =====
[1] {END_OF_EXPRESSION, ";", @(1, 1)}
[2] {ASSIGN, ":=", @(2, 1)}
[3] {COMMA, ",", @(3, 1)}
[4] {TYPE_DECLARE, ":", @(4, 1)}
[5] {PARENTHESIS_OPEN, "(", @(5, 1)}
[6] {PARENTHESIS_CLOSE, ")", @(6, 1)}
[7] {CURLY_OPEN, "{", @(7, 1)}
[8] {CURLY_CLOSE, "}", @(8, 1)}
[9] {BRACKET_OPEN, "[", @(9, 1)}
[10] {BRACKET_CLOSE, "]", @(10, 1)}
[11] {PLUS, "+", @(11, 1)}
[12] {MINUS, "-", @(12, 1)}
[13] {TIMES, "*", @(13, 1)}
[14] {DIV, "div", @(14, 1)}
[15] {REM, "rem", @(15, 1)}
[16] {EQUAL, "=", @(16, 1)}
[17] {UNEQUAL, "<>", @(17, 1)}
[18] {LESS_THAN, "<", @(18, 1)}
[19] {MORE_THAN, ">", @(19, 1)}
[20] {LESS_THAN_EQUAL, "<=", @(20, 1)}
[21] {MORE_THAN_EQUAL, ">=", @(21, 1)}
[22] {NOT, "not", @(22, 1)}
[23] {ILLEGAL_CHAR, "_", @(23, 1)}
[24] {IDENTIFIER, "hola", @(23, 2)}
[25] {INT_LITERAL, "999", @(24, 1)}
[26] {IDENTIFIER, "jo", @(24, 4)}
[27] {INT_LITERAL, "939", @(25, 1)}
[28] {INT_LITERAL, "89", @(26, 1)}
[29] {MINUS, "-", @(26, 3)}
[30] {ILLEGAL_CHAR, "_", @(27, 1)}
[31] {INT_LITERAL, "99", @(27, 2)}
[32] {IDENTIFIER, "abc99", @(28, 1)}
[33] {IDENTIFIER, "hh", @(29, 1)}
[34] {IDENTIFIER, "k", @(30, 1)}
[35] {CONST, "const", @(31, 1)}
[36] {VAR, "var", @(32, 1)}
[37] {PROGRAM, "program", @(33, 1)}
[38] {END, "end", @(34, 1)}
[39] {INTEGER, "integer", @(35, 1)}
[40] {BOOLEAN, "boolean", @(36, 1)}
[41] {STRING, "string", @(37, 1)}
[42] {LIST, "list", @(38, 1)}
[43] {OF, "of", @(39, 1)}
[44] {PROCEDURE, "procedure", @(40, 1)}
[45] {BEGIN, "begin", @(41, 1)}
[46] {IF, "if", @(42, 1)}
[47] {THEN, "then", @(43, 1)}
[48] {ELSE, "else", @(44, 1)}
[49] {LOOP, "loop", @(45, 1)}
[50] {FOR, "for", @(46, 1)}
[51] {IN, "in", @(47, 1)}
[52] {DO, "do", @(48, 1)}
[53] {RETURN, "return", @(49, 1)}
[54] {EXIT, "exit", @(50, 1)}
[55] {AND, "and", @(51, 1)}
[56] {OR, "or", @(52, 1)}
[57] {XOR, "xor", @(53, 1)}
[58] {TRUE, "true", @(54, 1)}
[59] {FALSE, "false", @(55, 1)}
[60] {STRING_LITERAL, ""this is a string"", @(56, 1)}
[61] {STRING_LITERAL, ""this is another ""string"""", @(57, 1)}
[62] {STRING_LITERAL, ""this is another one"", @(58, 1)}
[63] {IDENTIFIER, "not_string", @(58, 22)}
[64] {STRING_LITERAL, """", @(58, 32)}
[65] {ILLEGAL_CHAR, """, @(58, 34)}
[66] {STRING_LITERAL, ""/*should appear*/"", @(59, 1)}
[67] {STRING_LITERAL, ""//should appear"", @(60, 1)}
[68] {IDENTIFIER, "appear", @(66, 13)}
[69] {TIMES, "*", @(67, 1)}
[70] {ILLEGAL_CHAR, "/", @(67, 2)}
[71] {EOF, "", @(68, 1)}

===== Tokens from: "test_programs/variables.chimera" =====
[1] {CONST, "const", @(6, 1)}
[2] {IDENTIFIER, "konstant", @(7, 5)}
[3] {ASSIGN, ":=", @(7, 14)}
[4] {INT_LITERAL, "1", @(7, 17)}
[5] {END_OF_EXPRESSION, ";", @(7, 18)}
[6] {VAR, "var", @(9, 1)}
[7] {IDENTIFIER, "x", @(10, 5)}
[8] {COMMA, ",", @(10, 6)}
[9] {IDENTIFIER, "y", @(10, 8)}
[10] {TYPE_DECLARE, ":", @(10, 9)}
[11] {INTEGER, "integer", @(10, 11)}
[12] {END_OF_EXPRESSION, ";", @(10, 18)}
[13] {PROCEDURE, "procedure", @(12, 1)}
[14] {IDENTIFIER, "F", @(12, 11)}
[15] {PARENTHESIS_OPEN, "(", @(12, 12)}
[16] {IDENTIFIER, "b", @(13, 9)}
[17] {TYPE_DECLARE, ":", @(13, 10)}
[18] {BOOLEAN, "boolean", @(13, 12)}
[19] {END_OF_EXPRESSION, ";", @(13, 19)}
[20] {IDENTIFIER, "z", @(14, 9)}
[21] {TYPE_DECLARE, ":", @(14, 10)}
[22] {INTEGER, "integer", @(14, 12)}
[23] {END_OF_EXPRESSION, ";", @(14, 19)}
[24] {PARENTHESIS_CLOSE, ")", @(15, 5)}
[25] {END_OF_EXPRESSION, ";", @(15, 6)}
[26] {CONST, "const", @(17, 5)}
[27] {IDENTIFIER, "konstant", @(18, 9)}
[28] {ASSIGN, ":=", @(18, 18)}
[29] {INT_LITERAL, "1000", @(18, 21)}
[30] {END_OF_EXPRESSION, ";", @(18, 25)}
[31] {VAR, "var", @(20, 5)}
[32] {IDENTIFIER, "x", @(21, 9)}
[33] {TYPE_DECLARE, ":", @(21, 10)}
[34] {INTEGER, "integer", @(21, 12)}
[35] {END_OF_EXPRESSION, ";", @(21, 19)}
[36] {BEGIN, "begin", @(23, 5)}
[37] {IDENTIFIER, "WrBool", @(24, 9)}
[38] {PARENTHESIS_OPEN, "(", @(24, 15)}
[39] {IDENTIFIER, "b", @(24, 16)}
[40] {PARENTHESIS_CLOSE, ")", @(24, 17)}
[41] {END_OF_EXPRESSION, ";", @(24, 18)}
[42] {IDENTIFIER, "WrLn", @(25, 9)}
[43] {PARENTHESIS_OPEN, "(", @(25, 13)}
[44] {PARENTHESIS_CLOSE, ")", @(25, 14)}
[45] {END_OF_EXPRESSION, ";", @(25, 15)}
[46] {IDENTIFIER, "WrInt", @(26, 9)}
[47] {PARENTHESIS_OPEN, "(", @(26, 14)}
[48] {IDENTIFIER, "z", @(26, 15)}
[49] {PARENTHESIS_CLOSE, ")", @(26, 16)}
[50] {END_OF_EXPRESSION, ";", @(26, 17)}
[51] {IDENTIFIER, "WrLn", @(27, 9)}
[52] {PARENTHESIS_OPEN, "(", @(27, 13)}
[53] {PARENTHESIS_CLOSE, ")", @(27, 14)}
[54] {END_OF_EXPRESSION, ";", @(27, 15)}
[55] {IDENTIFIER, "x", @(29, 9)}
[56] {ASSIGN, ":=", @(29, 11)}
[57] {IDENTIFIER, "x", @(29, 14)}
[58] {PLUS, "+", @(29, 16)}
[59] {IDENTIFIER, "konstant", @(29, 18)}
[60] {END_OF_EXPRESSION, ";", @(29, 26)}
[61] {IDENTIFIER, "y", @(30, 9)}
[62] {ASSIGN, ":=", @(30, 11)}
[63] {IDENTIFIER, "y", @(30, 14)}
[64] {PLUS, "+", @(30, 16)}
[65] {IDENTIFIER, "konstant", @(30, 18)}
[66] {END_OF_EXPRESSION, ";", @(30, 26)}
[67] {IDENTIFIER, "WrInt", @(31, 9)}
[68] {PARENTHESIS_OPEN, "(", @(31, 14)}
[69] {IDENTIFIER, "x", @(31, 15)}
[70] {PARENTHESIS_CLOSE, ")", @(31, 16)}
[71] {END_OF_EXPRESSION, ";", @(31, 17)}
[72] {IDENTIFIER, "WrLn", @(32, 9)}
[73] {PARENTHESIS_OPEN, "(", @(32, 13)}
[74] {PARENTHESIS_CLOSE, ")", @(32, 14)}
[75] {END_OF_EXPRESSION, ";", @(32, 15)}
[76] {IDENTIFIER, "WrInt", @(33, 9)}
[77] {PARENTHESIS_OPEN, "(", @(33, 14)}
[78] {IDENTIFIER, "y", @(33, 15)}
[79] {PARENTHESIS_CLOSE, ")", @(33, 16)}
[80] {END_OF_EXPRESSION, ";", @(33, 17)}
[81] {IDENTIFIER, "WrLn", @(34, 9)}
[82] {PARENTHESIS_OPEN, "(", @(34, 13)}
[83] {PARENTHESIS_CLOSE, ")", @(34, 14)}
[84] {END_OF_EXPRESSION, ";", @(34, 15)}
[85] {END, "end", @(35, 5)}
[86] {END_OF_EXPRESSION, ";", @(35, 8)}
[87] {PROCEDURE, "procedure", @(37, 1)}
[88] {IDENTIFIER, "G", @(37, 11)}
[89] {PARENTHESIS_OPEN, "(", @(37, 12)}
[90] {PARENTHESIS_CLOSE, ")", @(37, 13)}
[91] {END_OF_EXPRESSION, ";", @(37, 14)}
[92] {VAR, "var", @(39, 5)}
[93] {IDENTIFIER, "y", @(40, 9)}
[94] {TYPE_DECLARE, ":", @(40, 10)}
[95] {INTEGER, "integer", @(40, 12)}
[96] {END_OF_EXPRESSION, ";", @(40, 19)}
[97] {BEGIN, "begin", @(42, 5)}
[98] {IDENTIFIER, "x", @(43, 9)}
[99] {ASSIGN, ":=", @(43, 11)}
[100] {IDENTIFIER, "x", @(43, 14)}
[101] {PLUS, "+", @(43, 16)}
[102] {IDENTIFIER, "konstant", @(43, 18)}
[103] {END_OF_EXPRESSION, ";", @(43, 26)}
[104] {IDENTIFIER, "y", @(44, 9)}
[105] {ASSIGN, ":=", @(44, 11)}
[106] {IDENTIFIER, "y", @(44, 14)}
[107] {PLUS, "+", @(44, 16)}
[108] {IDENTIFIER, "konstant", @(44, 18)}
[109] {END_OF_EXPRESSION, ";", @(44, 26)}
[110] {IDENTIFIER, "WrInt", @(45, 9)}
[111] {PARENTHESIS_OPEN, "(", @(45, 14)}
[112] {IDENTIFIER, "x", @(45, 15)}
[113] {PARENTHESIS_CLOSE, ")", @(45, 16)}
[114] {END_OF_EXPRESSION, ";", @(45, 17)}
[115] {IDENTIFIER, "WrLn", @(46, 9)}
[116] {PARENTHESIS_OPEN, "(", @(46, 13)}
[117] {PARENTHESIS_CLOSE, ")", @(46, 14)}
[118] {END_OF_EXPRESSION, ";", @(46, 15)}
[119] {IDENTIFIER, "WrInt", @(47, 9)}
[120] {PARENTHESIS_OPEN, "(", @(47, 14)}
[121] {IDENTIFIER, "y", @(47, 15)}
[122] {PARENTHESIS_CLOSE, ")", @(47, 16)}
[123] {END_OF_EXPRESSION, ";", @(47, 17)}
[124] {IDENTIFIER, "WrLn", @(48, 9)}
[125] {PARENTHESIS_OPEN, "(", @(48, 13)}
[126] {PARENTHESIS_CLOSE, ")", @(48, 14)}
[127] {END_OF_EXPRESSION, ";", @(48, 15)}
[128] {IDENTIFIER, "F", @(49, 9)}
[129] {PARENTHESIS_OPEN, "(", @(49, 10)}
[130] {FALSE, "false", @(49, 11)}
[131] {COMMA, ",", @(49, 16)}
[132] {INT_LITERAL, "5", @(49, 18)}
[133] {PARENTHESIS_CLOSE, ")", @(49, 19)}
[134] {END_OF_EXPRESSION, ";", @(49, 20)}
[135] {END, "end", @(50, 5)}
[136] {END_OF_EXPRESSION, ";", @(50, 8)}
[137] {PROGRAM, "program", @(52, 1)}
[138] {IDENTIFIER, "G", @(53, 5)}
[139] {PARENTHESIS_OPEN, "(", @(53, 6)}
[140] {PARENTHESIS_CLOSE, ")", @(53, 7)}
[141] {END_OF_EXPRESSION, ";", @(53, 8)}
[142] {END, "end", @(54, 1)}
[143] {END_OF_EXPRESSION, ";", @(54, 4)}
[144] {EOF, "", @(55, 1)}
